,realclusters,Zone.,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin
1,1,0.418,44.35,2,0,0,4.6,27.1,0,0,0,0,94.25,90.45,0,0,84.2,81.25,0,0,0,0,2273,2047,0,0,1692,2442.5,0,0,0,0
2,2,0.417,22.7,30.4,0,30.4,3.6,0,0,0,0,0,94.4,94.4,0,85.6,85.3,0,0,0,0,0,2240,2168,0,2343,1683,0,0,0,0,0
3,3,0.421,43,1.7,0,22.7,5.9,10.5,0,0,0,0,94.1,91.4,0,86,85.4,79.8,0,0,0,0,2263,2058,0,2391,1652,2481,0,0,0,0
4,4,0.419,54.25,0,0,27.2,0.8,0,0,0,0,0,94.5,0,0,84.85,83.1,0,0,0,0,0,2325.5,0,0,2391,1479.5,0,0,0,0,0
5,5,0.413,27.9,5.5,21.7,0,4.4,12.6,0,0,0,0,92.7,91.3,88.7,0,84.7,79.6,0,0,0,0,2267,2078,2361,0,1747,2531,0,0,0,0
6,6,0.434,32.05,10.65,24.2,12.55,1.35,0,0,0,0,0,94.4,93.25,89.8,83.3,83.4,0,0,0,0,0,2277,2118.5,2410.5,2426,1559,0,0,0,0,0
7,7,0.434,20.8,25.1,0,0,0.7,0,0,0,30.6,0,94.1,93.8,0,0,83.9,0,0,0,81.8,0,2282,2152,0,0,1572,0,0,0,2520,0
