,realclusters,Zone.,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin
1,1,0.4177317073,39.98902439,13.68414634,0,0,10.80121951,27.87317073,2.763414634,1.064634146,3.457317073,0.3634146341,92.90609756,55.76341463,0,0,60.94146341,80.68536585,11.97317073,0.9256097561,10.08292683,2.024390244,2250.280488,1305.036585,0,0,1294.231707,2451.304878,199.5731707,17.57317073,318.5609756,57.84146341
2,2,0.418314741,26.80199203,31.087251,0.003984063745,30.8685259,9.435458167,0,1.795219124,0,0,0.01394422311,86.40677291,94.03346614,0.3306772908,84.42310757,61.1250996,0,9.061752988,0,0,0.6438247012,2062.282869,2181.49004,5.294820717,2349.115538,1302.207171,0,141.2310757,0,0,20.76095618
3,3,0.4190395257,39.81778656,12.36916996,0,23.9486166,8.939525692,13.07509881,0.6699604743,0,1.171541502,0,92.21106719,60.12687747,0,85.61936759,66.56521739,79.4458498,5.83715415,0,6.154150198,0,2237.557312,1419.26087,0,2415.996047,1365.940711,2500.577075,91.79051383,0,192.6719368,0
4,4,0.4189928571,54.45,0,0,29.71857143,9.185714286,0.001428571429,5.827142857,0,0.8121428571,0,94.57357143,0,0,84.06214286,50.20071429,0.5664285714,22.89928571,0,3.525714286,0,2314.364286,0,0,2359.907143,1065.257143,0,342.4071429,0,106.4857143,0
5,5,0.4192648649,27.1027027,15.28054054,25.28540541,5.094054054,8.433513514,14.63837838,1.623783784,0,2.536216216,0,87.92540541,63.68216216,88.88702703,30.50324324,66.85081081,79.27351351,9.248648649,0,9.201621622,0,2146.356757,1495.789189,2359.605405,903.1351351,1429.113514,2520.151351,142.8378378,0,301.9459459,0
6,6,0.4248522727,29.11931818,18.26818182,26.95795455,15.88409091,8.528409091,0.001136363636,1.230681818,0,0,0,83.80795455,65.25568182,90.36931818,68.89886364,51.21477273,0.8840909091,6.781818182,0,0,0,2028.556818,1521.806818,2376.75,1996.772727,1066.613636,0,117.5568182,0,0,0
7,7,0.4286321839,22.96666667,28.28275862,5.883908046,5.257471264,6.654022989,0,0.9850574713,0,29.8862069,0,83.37471264,81.14482759,35.89655172,31.44482759,51.52298851,0,11.10344828,0,82.05632184,0,2021.942529,1882.551724,969.5287356,810.6206897,1046.770115,0,160.1149425,0,2540.137931,0
