"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Javier, Cristian","664299","58.4","","","30.0","4.1","7.5","","","",""
"Sears, JP","676664","50.1","0.1","","13.1","15.1","","","","21.5",""
"Elder, Bryce","693821","13.4","37.6","","35.3","13.7","","","","",""
"Morton, Charlie","450203","31.6","7.0","7.9","","10.3","43.2","","","",""
"Peralta, Freddy","642547","51.2","","","21.8","14.6","12.4","","","",""
"Walker, Taijuan","592836","17.6","23.3","17.6","","","5.7","33.2","","2.6",""
"Kirby, George","669923","39.4","21.6","","19.7","1.8","11.5","6.1","0.1","",""
"Gray, Sonny","543243","27.2","15.7","13.1","","6.7","16.9","","","20.4",""
"Kikuchi, Yusei","579328","45.1","","","25.9","9.7","19.3","","","",""
"Lyles, Jordan","543475","30.5","13.1","7.6","","10.9","13.1","","","24.7",""
"Gray, Josiah","680686","17.0","17.2","17.8","24.6","1.6","16.2","","","5.5",""
"Kelly, Merrill","518876","30.0","12.2","18.1","5.5","23.1","11.0","","","",""
"Senga, Kodai","673540","37.0","","25.0","5.8","","2.7","","","5.8",""
"Alcantara, Sandy","645261","21.3","29.0","","20.1","27.3","2.2","","","",""
"Brown, Hunter","686613","46.1","0.2","23.5","","","23.8","4.8","","1.7",""
"Schmidt, Clarke","657376","","24.1","27.9","","1.5","19.1","","","27.4",""
"Dunning, Dane","641540","3.2","33.1","20.0","23.4","15.6","4.7","","","",""
"Ryan, Joe","657746","56.9","","","4.5","","","27.2","","11.4",""
"Steele, Justin","657006","62.6","1.8","","33.9","1.0","0.7","","","",""
"Bradish, Kyle","680694","22.4","20.7","","31.2","8.3","17.3","","","",""
"Flaherty, Jack","656427","41.7","2.0","9.1","24.6","3.3","19.4","","","",""
"Williams, Trevor","592866","43.2","14.6","","15.5","17.0","6.9","","","2.8",""
"Sandoval, Patrick","663776","25.6","11.1","","26.0","25.8","9.0","","","2.6",""
"Bello, Brayan","678394","20.6","36.3","1.5","17.6","23.9","","","","",""
"Singer, Brady","663903","0.2","51.0","","42.1","6.3","","","","0.5",""
"Heaney, Andrew","571760","57.9","","","25.2","16.9","0.0","","","",""
"Verlander, Justin","434378","50.0","","","25.3","4.7","20.0","","","",""
"Detmers, Reid","672282","43.2","","","30.9","5.4","19.4","","","1.1",""
"Eflin, Zach","621107","6.2","31.9","26.1","0.3","5.1","26.3","","","4.1",""
"Waldichuk, Ken","686610","54.3","","","","16.6","2.0","","","27.1",""
"Taillon, Jameson","592791","34.1","10.4","22.2","0.4","3.1","14.9","","","15.0",""
"Hill, Rich","448179","34.2","4.0","14.7","1.9","2.3","36.1","","","6.9",""
"Cobb, Alex","502171","0.3","39.7","","5.1","","16.2","38.7","","",""
"Garrett, Braxton","666129","7.5","31.7","17.7","25.9","8.8","8.3","","","",""
"Scherzer, Max","453286","46.3","","10.4","16.8","14.1","12.4","","","",""
"Gore, MacKenzie","669022","59.5","","","18.2","2.9","18.8","","","0.6",""
"Anderson, Tyler","542881","37.4","5.5","22.4","0.6","33.8","0.2","","","",""
"Kopech, Michael","656629","61.4","","","27.2","7.4","4.0","","","",""
"Freeland, Kyle","607536","18.4","28.3","","23.6","12.1","17.6","","","",""
"Smyly, Drew","592767","","38.9","11.7","","","49.4","","","",""
"Gray, Jon","592351","42.4","","","33.5","11.6","6.2","","","6.4",""
"Pivetta, Nick","601713","50.6","","7.8","11.1","","24.7","0.5","","5.4",""
"Lugo, Seth","607625","31.9","19.9","","9.1","5.9","28.7","","","2.0","2.7"
"Rodriguez, Eduardo","593958","45.4","9.3","19.3","7.2","18.9","","","","",""
"Lorenzen, Michael","547179","34.7","12.0","0.9","23.3","21.6","1.1","","","6.4",""
"Nelson, Ryne","669194","54.6","","13.5","13.4","13.3","5.2","","","",""
"Ober, Bailey","641927","45.7","","","19.6","28.0","6.7","","","",""
"Bibee, Tanner","676440","47.1","","","27.0","16.6","9.3","","","",""
"Ashcraft, Graham","668933","","9.7","52.9","37.4","0.0","","","","",""
"Weaver, Luke","596133","43.6","","10.9","10.7","20.0","10.8","","","4.0",""
"Megill, Tylor","656731","55.7","","","20.6","14.9","8.6","0.2","","",""
"Eovaldi, Nathan","543135","37.2","","17.6","4.0","","13.5","27.6","","",""
"Pérez, Martín","527048","3.9","42.9","22.1","1.0","26.5","3.7","","","",""
"Wacha, Michael","608379","28.8","13.3","12.4","","34.5","11.0","","","",""
"Greinke, Zack","425844","26.5","15.7","7.0","20.0","16.6","14.1","","","",""
"Darvish, Yu","506433","16.6","18.7","8.9","17.7","0.1","11.7","7.7","","18.6",""
"Stroman, Marcus","573186","8.2","46.4","9.6","5.1","","","7.7","","","23.0"
"France, J.P.","641585","43.1","","18.9","","15.2","13.7","","","9.1",""
"Gomber, Austin","596295","43.9","1.2","","20.1","18.1","16.8","","","",""
"Irvin, Jake","663623","35.6","28.7","","","5.1","30.6","","","",""
"Allen, Logan","671106","45.1","","8.9","2.5","21.3","","","","22.2",""
"Hendricks, Kyle","543294","20.5","34.9","","","41.1","3.5","","","",""
"Rodriguez, Grayson","680570","49.6","","5.2","0.4","22.4","8.1","","","14.4",""
"Clevinger, Mike","605182","47.7","2.6","8.1","27.2","12.9","1.5","","","",""
"Crawford, Kutter","676710","39.2","","28.2","6.3","","11.9","7.7","","6.7",""
"Ohtani, Shohei","660271","32.8","6.0","15.9","0.2","","3.6","6.5","","35.1",""
"Miller, Bryce","682243","58.5","7.6","","19.0","5.6","0.9","","","8.5",""
"Greene, Hunter","668881","54.4","","","40.3","5.3","","","","",""
"Canning, Griffin","656288","34.8","0.6","","29.9","21.3","13.4","","","",""
"Manaea, Sean","640455","56.2","0.8","0.0","13.9","17.0","","","","12.0",""
"Kershaw, Clayton","477132","36.9","0.2","","43.4","1.7","17.5","0.2","","",""
"Suárez, Ranger","624133","21.5","28.0","12.6","0.5","18.4","19.0","","","",""
"Rea, Colin","607067","19.3","29.9","26.4","","","7.9","5.6","","11.0",""
"Civale, Aaron","650644","12.3","18.5","37.2","5.8","","24.5","1.7","","",""
"Peterson, David","656849","27.3","25.3","","19.7","18.9","8.8","","","",""
"Miller, Bobby","676272","28.9","19.2","","16.7","16.0","18.5","","","0.7",""
"Bieber, Shane","669456","35.2","","26.9","20.7","3.5","13.7","","","",""
"Medina, Luis","665622","41.5","14.2","","23.8","8.7","11.7","","","",""
"Williamson, Brandon","682227","37.1","","29.9","0.7","16.5","6.3","","","9.4",""
"Wentz, Joey","666214","41.6","","25.1","","17.5","15.8","","","",""
"Wells, Tyler","669330","37.7","","19.5","16.4","18.5","7.8","","","",""
"Abbott, Andrew","671096","50.1","","","","16.4","17.1","","","16.5",""
"Glasnow, Tyler","607192","43.2","0.4","","34.8","0.3","21.3","","","",""
"Blackburn, Paul","621112","14.6","24.0","20.4","18.1","11.2","11.7","","","",""
"Miley, Wade","489119","19.5","4.6","44.3","4.9","24.6","2.2","","","",""
"Matz, Steven","571927","","56.1","","1.8","27.4","14.8","","","",""
"Houser, Adrian","605288","23.8","47.1","","16.6","4.0","8.5","","","",""
"Urías, Julio","628711","45.1","","9.2","","15.7","","","","","30.0"
"Bradley, Taj","671737","44.9","","24.8","","","16.7","13.6","","",""
"McClanahan, Shane","663556","41.9","","","15.3","25.8","17.0","","","",""
"Cabrera, Edward","665795","27.9","9.3","","8.1","31.4","23.4","","","",""
"Wainwright, Adam","425794","9.9","31.4","22.6","0.4","5.1","30.7","","","",""
"Flexen, Chris","623167","40.9","1.9","29.3","6.7","16.0","2.3","","","3.0",""
"Martinez, Nick","607259","12.9","22.5","16.5","0.2","28.8","19.1","","","",""
"Olson, Reese","681857","28.5","20.0","","30.6","15.1","5.8","","","",""
"Houck, Tanner","656557","9.9","29.6","10.8","38.4","","","11.4","","",""
"Assad, Javier","665871","19.4","30.6","27.4","13.5","4.0","5.1","","","",""
"Quantrill, Cal","615698","1.0","41.6","24.1","","10.1","10.9","12.3","","",""
"Wood, Alex","622072","","44.6","","26.1","29.3","","","","",""
"Maeda, Kenta","628317","27.4","6.4","","22.2","","3.6","31.9","","8.4",""
"Paxton, James","572020","56.6","0.7","16.5","","6.7","19.5","","","",""
"Manoah, Alek","666201","29.0","28.2","","30.0","12.8","","","","",""
"King, Michael","650633","22.7","33.5","","","14.5","","","","29.3",""
"Sale, Chris","519242","43.2","6.2","","37.5","13.1","","","","",""
"Gonsolin, Tony","664062","39.5","","","18.3","","15.1","27.2","","",""
"Germán, Domingo","593334","27.7","10.5","","","20.9","40.9","","","",""
"Severino, Luis","622663","44.9","2.8","15.0","18.8","18.6","","","","",""
"Pfaadt, Brandon","694297","45.3","9.9","","","12.2","5.5","","","27.0",""
"Toussaint, Touki","657053","23.5","26.5","","2.3","","28.8","18.9","","",""
"Carrasco, Carlos","471911","32.3","10.0","0.4","18.1","29.9","9.1","","","0.3",""
"Ragans, Cole","666142","40.1","","13.4","10.4","23.7","12.4","","","",""
"Seabold, Connor","657756","54.4","","","30.5","13.3","1.8","","","",""
"Musgrove, Joe","605397","24.5","5.4","20.4","14.5","11.4","23.9","","","",""
"DeSclafani, Anthony","543101","12.5","27.8","","44.8","9.8","5.1","","","",""
"Pérez, Eury","691587","45.4","","","30.8","9.8","14.0","","","",""
"Davies, Zach","605200","22.5","32.5","11.3","1.9","24.8","6.2","","","0.8",""
"Curry, Xzavion","675540","48.4","","","36.1","3.9","11.6","","","",""
"Wesneski, Hayden","669713","29.6","18.9","10.0","0.5","4.9","","","","36.1",""
"Ortiz, Luis L.","682847","25.0","28.3","0.3","32.7","13.7","","","","",""
"Sánchez, Cristopher","650911","","46.2","","21.1","32.7","","","","",""
"Muller, Kyle","666205","51.7","","","25.3","8.1","14.9","","","",""
"Stripling, Ross","548389","26.0","9.2","","29.2","24.8","9.9","0.9","","",""
"Lambert, Peter","663567","44.6","","","21.2","20.0","3.2","","","11.1",""
"Woo, Bryan","693433","46.9","25.5","","15.1","3.7","","","","8.8",""
"Anderson, Chase","502624","31.2","7.3","26.3","0.3","22.9","4.1","","","7.8",""
"Scholtens, Jesse","669947","43.5","","","36.6","3.5","16.5","","","",""
"Brito, Jhony","666745","16.4","32.8","","1.7","29.0","10.4","","","9.7",""
"Yarbrough, Ryan","642232","30.7","0.2","24.8","","18.3","26.1","","","",""
"Fujinami, Shintaro","660261","56.6","","16.2","1.2","","0.1","19.9","","6.1",""
"Syndergaard, Noah","592789","18.1","26.1","12.5","6.8","22.2","14.1","0.3","","",""
"Bird, Jake","656234","","59.5","13.2","7.1","0.2","20.0","","","",""
"Henry, Tommy","674072","49.0","","","12.7","19.3","19.1","","","",""
"Junis, Jakob","596001","1.1","26.5","","62.5","9.9","","","","",""
"Bielak, Brandon","656232","30.6","21.5","","11.8","24.9","11.2","","","",""
"Williams, Gavin","668909","55.3","","","22.1","5.6","17.0","","","",""
"Winckowski, Josh","670174","4.9","37.5","32.1","19.6","5.9","","","","",""
"Lively, Ben","594902","32.1","21.9","4.9","1.2","10.2","6.6","","","23.1",""
"Strahm, Matt","621381","45.1","18.8","10.6","25.0","0.4","","","","",""
"Stratton, Chris","608717","54.7","","","19.3","7.2","18.8","","","",""
"Richards, Trevor","670950","43.4","","","","56.6","","","","",""
"Barria, Jaime","642545","30.6","4.7","","50.7","14.1","","","","",""
"Chirinos, Yonny","630023","1.8","46.9","","25.8","","","25.6","","",""
"Marsh, Alec","679525","37.3","7.2","","9.8","14.9","14.9","","","15.9",""
"Littell, Zack","641793","31.2","9.9","","32.2","","","19.2","","7.5",""
"Hudson, Dakota","641712","22.2","37.7","","32.1","2.4","5.5","","","",""
"Brash, Matt","666374","33.7","3.0","4.1","50.5","0.1","8.7","","","",""
"Beck, Tristan","663941","36.7","","","33.1","0.4","7.9","","","21.9",""
"Falter, Bailey","663559","44.4","7.2","","18.9","4.6","22.5","2.4","","",""
"Tonkin, Michael","543859","","61.2","","37.3","","","","","1.6",""
"Irvin, Cole","608344","28.0","20.7","15.9","","21.1","14.3","","","",""
"Blach, Ty","621389","","55.0","16.5","","22.1","6.4","","","",""
"Montero, Rafael","606160","49.1","14.6","","14.0","22.3","","","","",""
"Hernández, Carlos","672578","55.3","0.7","","23.6","","9.3","11.1","","",""
"Fried, Max","608331","34.7","10.5","","10.7","16.5","23.1","","","4.6",""
"McGough, Scott","543518","50.7","0.4","","9.2","","","39.7","","",""
"Bickford, Phil","641360","71.0","","","26.9","2.0","","","","",""
"Quintana, Jose","500779","24.2","32.3","","","18.1","20.5","","","","4.8"
"Merryweather, Julian","657240","40.9","","","49.1","7.5","","","","2.5",""
"Farmer, Buck","571656","43.0","","","33.9","23.1","","","","",""
"Skubal, Tarik","669373","36.0","12.2","","20.7","24.4","6.8","","","",""
"Gibaut, Ian","664139","44.0","","27.1","","8.1","","","","20.8",""
"Abreu, Bryan","650556","41.2","","","58.7","","0.1","","","",""
"Scott, Tanner","656945","47.4","","","52.6","","","","","",""
"López, Reynaldo","625643","64.3","","","29.4","5.4","0.9","","","",""
"Barlow, Scott","605130","21.1","8.2","","37.1","","33.6","","","",""
"Holton, Tyler","663947","27.9","12.3","19.3","14.3","22.5","3.6","","","",""
"Whitlock, Garrett","676477","0.4","52.5","","0.1","24.1","","","","22.9",""
"Morgan, Eli","669212","40.4","","","25.4","31.7","2.5","","","",""
"Lawrence, Justin","664875","","51.3","","","","","","","48.7",""
"Manning, Matt","666159","47.6","","","","3.6","17.3","","","31.6",""
"Boyd, Matthew","571510","38.6","7.0","","28.4","18.7","7.4","","","",""
"Cuas, Jose","621016","19.6","49.7","","23.0","4.1","","","","3.6",""
"Thompson, Zack","668868","53.7","","","17.0","2.1","27.3","","","",""
"Díaz, Alexis","664747","48.5","","","51.5","","","","","",""
"Wilson, Bryse","669060","16.3","34.9","34.7","","0.7","13.4","0.1","","",""
"Lange, Alex","656638","5.1","26.2","","","10.2","58.5","","","",""
"Grove, Michael","675627","32.7","4.2","7.5","38.2","0.3","17.0","","","",""
"Contreras, Roansy","672710","40.2","","","44.3","3.9","11.7","","","",""
"Pallante, Andre","669467","66.5","2.6","","17.5","","13.4","","","",""
"Doval, Camilo","666808","","30.0","33.8","36.2","","","","","",""
"Rodón, Carlos","607074","60.4","","","28.9","4.3","6.4","","","",""
"Suter, Brent","608718","30.6","30.4","","10.8","28.3","","","","",""
"Estévez, Carlos","608032","66.8","","","26.4","6.2","0.5","","","",""
"Stephan, Trevor","663986","47.7","","","24.1","","","28.1","","",""
"Hoeing, Bryan","663773","8.9","52.6","","31.8","2.6","","4.2","","",""
"Rogers, Tyler","643511","","51.2","","48.8","","","","","",""
"Kimbrel, Craig","518886","67.2","","","","","32.8","","","",""
"Payamps, Joel","606303","21.9","22.1","","43.8","12.2","","","","",""
"Cruz, Fernando","518585","35.2","0.4","23.9","4.6","","","35.9","","",""
"Clase, Emmanuel","661403","0.4","","67.6","32.0","","","","","",""
"Hicks, Jordan","663855","10.8","64.3","","3.5","","","1.6","","19.8",""
"Graveman, Kendall","608665","22.6","39.4","","26.8","9.1","2.2","","","",""
"Harris, Hogan","663687","47.0","","18.8","","20.3","13.9","","","",""
"Finnegan, Kyle","640448","70.0","","","5.2","","","24.8","","",""
"Bednar, David","670280","58.0","","","","","25.4","16.6","","",""
"García, Yimi","554340","33.1","15.8","","10.7","7.3","32.7","","","0.4",""
"Bummer, Aaron","607481","5.6","45.3","10.6","","0.5","","","","38.0",""
"Urquidy, José","664353","38.4","9.7","","","21.6","11.5","","","18.8",""
"Neris, Héctor","593576","51.8","15.5","","3.9","","","28.8","","",""
"Varland, Louie","686973","42.7","0.9","31.9","","11.3","","","","13.2",""
"Kaprielian, James","621076","41.4","13.9","","30.7","7.8","6.1","","","",""
"Johnson, Pierce","572955","35.2","","","5.9","","58.9","","","",""
"Smith, Drew","622098","61.2","0.1","","20.9","9.3","8.5","","","",""
"Teheran, Julio","527054","9.4","38.7","28.7","","11.8","11.5","","","",""
"Walker, Ryan","676254","","49.6","","50.3","","0.1","","","",""
"Weathers, Ryan","677960","55.1","1.0","","","23.6","","","","20.3",""
"Baumann, Mike","657508","51.4","","","20.9","2.4","25.3","","","",""
"Robertson, David","502085","","0.1","53.4","19.9","1.4","25.2","","","",""
"Clarke, Taylor","664199","29.0","","","37.0","15.4","","","","18.6",""
"Cortes, Nestor","641482","52.1","0.5","28.8","2.0","2.8","","","","13.9",""
"Kelly, Kevin","687330","1.1","47.8","10.1","","","","","","40.9",""
"Ferguson, Caleb","657571","66.5","","30.7","","","","","","2.8",""
"Minter, A.J.","621345","47.2","","38.9","","13.9","","","","",""
"Pagán, Emilio","641941","55.0","","30.1","","","2.5","12.3","","",""
"Liberatore, Matthew","669461","38.2","18.5","","12.7","8.1","22.4","","","",""
"Swanson, Erik","657024","34.7","","","17.8","","","47.5","","",""
"Sims, Lucas","608371","43.6","","","50.6","","5.9","","","",""
"Leiter Jr., Mark","643410","8.1","28.1","20.6","","","9.1","34.0","","",""
"Yates, Kirby","489446","53.9","","","1.5","","","44.6","","",""
"Ginkel, Kevin","656464","47.3","9.7","","43.0","","","","","",""
"Erceg, Lucas","668674","28.4","30.3","4.5","14.7","22.1","","","","",""
"De Los Santos, Enyel","660853","60.5","","","30.4","9.1","","","","",""
"Santos, Gregory","666619","2.1","43.8","","52.6","1.4","","","","",""
"Jax, Griffin","643377","22.4","13.0","2.9","","8.9","","","","52.8",""
"Foley, Jason","671345","0.3","69.1","","17.4","13.3","","","","",""
"Topa, Justin","623437","","44.6","18.5","30.0","6.8","","","","",""
"Abreu, Albert","656061","3.3","54.3","","28.1","14.4","","","","",""
"Woodruff, Brandon","605540","41.0","22.0","","9.5","19.7","7.9","","","",""
"VerHagen, Drew","572403","27.9","17.2","12.6","","11.2","","","","31.1",""
"Hader, Josh","623352","","73.4","","23.2","3.4","","","","",""
"Maton, Phil","664208","32.1","4.1","","","","40.4","","","23.4",""
"Sewald, Paul","623149","57.2","","","","","","","","42.8",""
"Faedo, Alex","656412","48.5","","","38.1","13.3","","","","",""
"Sheehan, Emmet","686218","60.0","","","18.9","17.2","","","","3.9",""
"Milner, Hoby","571948","19.9","29.7","","","17.3","","","","33.1",""
"Moll, Sam","594580","24.9","35.9","","","1.4","","","","37.9",""
"Pressly, Ryan","519151","23.1","0.2","1.2","40.0","8.9","26.6","","","",""
"Ottavino, Adam","493603","5.6","37.7","15.0","","13.9","","","","27.8",""
"Holmes, Clay","605280","0.3","69.2","","20.9","","","","","9.6",""
"Okert, Steven","595345","38.7","","","61.3","","","","","",""
"McHugh, Collin","543521","3.9","","45.8","","0.4","2.0","","","47.9",""
"Duran, Jhoan","661395","44.9","","","","","27.7","27.3","","",""
"Cano, Yennier","666974","3.3","55.3","","13.7","27.7","","","","",""
"Brazoban, Huascar","623211","17.5","21.4","32.8","","28.3","","","","",""
"García, Luis","472610","13.1","44.3","","0.5","","","8.1","","34.1",""
"Castro, Miguel","612434","","42.5","","41.7","15.9","","","","",""
"Chapman, Aroldis","547973","47.8","16.2","","28.9","","","7.1","","",""
"Sandlin, Nick","680704","27.3","18.7","","49.7","","","4.4","","",""
"Banks, Tanner","621383","35.4","2.8","","30.3","16.5","15.1","","","",""
"Jackson, Andre","656578","44.6","","","17.0","32.0","6.5","","","",""
"Diekman, Jake","518617","57.6","6.2","3.6","","14.7","","","","17.9",""
"Kluber, Corey","446372","2.3","26.3","27.4","","15.9","28.2","","","",""
"Bautista, Félix","642585","70.4","","","4.8","","","24.8","","",""
"Cisnero, José","542585","36.8","21.3","12.3","19.8","9.8","","","","",""
"Raley, Brooks","548384","0.6","25.1","23.0","","15.1","","","","36.3",""
"Hamilton, Ian","641656","22.4","23.4","","54.2","","","","","",""
"Leclerc, José","600917","35.1","4.0","16.0","31.6","13.3","","","","",""
"Gott, Trevor","641627","21.9","27.8","39.1","","4.1","7.1","","","",""
"Bradford, Cody","674003","54.5","","13.3","4.4","27.7","","","","",""
"Hand, Brad","543272","33.2","16.9","","","","","","","49.8",""
"López, Jorge","605347","16.4","33.9","","16.1","11.7","21.9","","","",""
"Soto, Gregory","642397","17.5","43.3","","39.0","0.2","","","","",""
"Harvey, Hunter","640451","60.0","","","13.9","","7.4","18.7","","",""
"Moreta, Dauri","664294","26.4","","","64.8","8.8","","","","",""
"Ramírez, Erasmo","541640","5.0","29.3","43.2","5.5","7.8","7.7","","","1.5",""
"Floro, Dylan","571670","34.1","31.8","","22.2","11.9","","","","",""
"Alzolay, Adbert","640470","20.8","19.3","10.0","45.1","0.5","","","","4.4",""
"Law, Derek","571882","18.9","12.1","36.5","17.3","4.8","10.4","","","",""
"Englert, Mason","669438","30.3","","","36.3","26.7","6.7","","","",""
"Nardi, Andrew","677053","61.3","","","37.8","0.9","","","","",""
"Fulmer, Michael","605242","28.6","11.1","22.0","","7.7","","","","30.6",""
"Puk, A.J.","640462","51.1","5.1","","","0.8","","0.4","","42.6",""
"Williams, Devin","642207","39.1","","3.0","","57.9","","","","",""
"Cabrera, Génesis","650893","36.3","14.2","32.1","","4.1","13.3","","","",""
"Martínez, Adrián","661309","","59.2","","17.4","23.4","","","","",""
"Honeywell, Brent","641703","47.2","0.3","","0.2","26.6","","","","17.9",""
"Bido, Osvaldo","674370","28.0","23.4","3.4","35.3","9.9","","","","",""
"Wilson, Steven","621051","36.4","","0.6","","3.2","","","","59.8",""
"Jiménez, Joe","641729","62.2","","","30.7","7.1","","","","",""
"Bard, Daniel","453268","13.7","37.4","","45.3","0.2","","","","","3.3"
"Holderman, Colin","670059","","50.1","20.3","","","","","","29.6",""
"Graterol, Brusdar","660813","10.2","43.6","21.9","24.3","","","","","",""
"Webb, Jacob","657097","48.5","","","","28.0","","","","23.5",""
"Poche, Colin","621363","65.0","","","35.0","","","","","",""
"Adon, Joan","672851","39.5","13.6","","11.3","15.2","20.5","","","",""
"Chafin, Andrew","605177","20.1","44.0","","35.1","0.9","","","","",""
"Weems, Jordan","607179","48.3","","","43.4","7.7","0.7","","","",""
"Phillips, Evan","623465","19.6","10.9","24.0","","","","","","45.5",""
"Romano, Jordan","605447","45.6","0.2","","54.2","","","","","",""
"Burke, Brock","656271","64.6","5.7","","18.8","10.9","","","","",""
"Peguero, Elvis","665625","","49.1","","50.9","","","","","",""
"Woodford, Jake","663765","6.8","50.2","5.6","1.0","4.1","10.1","","","22.2",""
"Adam, Jason","592094","33.4","","","1.3","35.2","","","","30.0",""
"Blanco, Ronel","669854","40.2","","","48.6","9.0","2.2","","","",""
"Brasier, Ryan","518489","36.4","14.6","13.6","35.4","","","","","",""
"Avila, Pedro","658648","32.7","20.7","","","25.6","20.3","","","0.7",""
"Thompson, Mason","666168","6.0","56.9","","28.5","0.2","8.4","","","",""
"Marinaccio, Ron","676760","51.6","","","","37.2","","","","11.2",""
"Silseth, Chase","681217","35.0","14.8","8.4","2.7","","2.4","16.7","","20.0",""
"Leone, Dominic","608678","37.2","1.2","31.6","29.9","","","","","",""
"Soriano, George","666277","40.5","","","37.9","21.5","","","","",""
"Gallegos, Giovanny","606149","50.2","","","46.3","3.5","","","","",""
"Nelson, Kyle","669459","32.1","","8.7","59.2","","","","","",""
"Peralta, Wandy","593974","5.6","36.9","","13.1","44.4","","","","",""
"Keller, Brad","641745","31.1","10.4","","23.9","12.3","19.7","","","2.5",""
"Young, Alex","622065","3.2","36.6","","","35.8","24.4","","","",""
"Pérez, Cionel","672335","26.6","36.9","","29.9","","6.6","","","",""
"Iglesias, Raisel","628452","31.7","17.6","","15.4","35.3","","","","",""
"Murphy, Chris","669684","38.7","","","31.7","6.3","18.3","","","4.9",""
"Hoffman, Jeff","656546","33.8","0.5","","47.9","","","17.8","","",""
"Priester, Quinn","682990","19.1","34.2","","23.3","10.4","13.0","","","",""
"Shuster, Jared","694363","44.1","","","32.9","23.0","","","","",""
"Bernardino, Brennan","657514","","55.9","","","1.4","42.7","","","",""
"Stanek, Ryne","592773","64.2","","","17.6","","","18.2","","",""
"Smith, Will","519293","38.9","","","50.1","2.9","8.1","","","",""
"Hernandez, Jose","669796","33.2","","","55.9","10.9","","","","",""
"Cueto, Johnny","456501","34.4","19.7","2.8","23.5","19.3","0.3","","","",""
"Domínguez, Seranthony","622554","39.1","29.2","","27.7","4.0","","","","",""
"Middleton, Keynan","641871","26.3","","","30.8","42.9","","","","",""
"Vasquez, Andrew","607755","7.3","4.3","","81.8","1.5","5.0","","","",""
"Vesia, Alex","681911","68.1","","","30.5","1.4","","","","",""
"Hentges, Sam","656529","36.0","13.3","","14.7","","36.0","","","",""
"Davidson, Tucker","656353","35.2","2.0","","44.3","","","7.4","","11.1",""
"Lauer, Eric","641778","43.2","","35.8","7.8","0.7","12.4","","","",""
"Cosgrove, Tom","676680","24.4","23.1","","","0.4","","","","52.2",""
"Loup, Aaron","571901","2.2","54.0","22.2","","17.6","4.1","","","",""
"Muñoz, Andrés","662253","32.4","19.0","","48.6","","","","","",""
"Sborz, Josh","622250","36.2","","","38.0","","25.8","","","",""
"Rogers, Taylor","573124","","41.5","2.0","","","","","","56.5",""
"Moore, Matt","519043","48.0","","","","31.3","20.7","","","",""
"Coulombe, Danny","543056","8.3","18.3","42.5","","2.3","10.7","","","17.8",""
"Ryu, Hyun Jin","547943","31.7","9.5","18.9","","22.8","17.1","","","",""
"Schreiber, John","670167","28.7","25.5","0.1","","8.2","","","","37.5",""
"Ruiz, José","614179","31.5","20.4","","","13.1","35.0","","","",""
"Gonzales, Marco","594835","36.6","0.2","8.8","","30.2","24.2","","","",""
"Mayza, Tim","641835","","76.5","","23.5","","","","","",""
