"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Cole, Gerrit","543037","53.0","","7.0","20.8","7.1","12.1","","","",""
"Cease, Dylan","656302","43.2","","","38.6","3.0","15.2","","","",""
"Gallen, Zac","668678","49.1","0.7","9.2","4.5","13.9","22.7","","","",""
"Castillo, Luis","622491","44.4","17.9","","22.1","15.6","","","","",""
"Mikolas, Miles","571945","26.0","24.4","","24.3","5.4","20.0","","","",""
"Giolito, Lucas","608337","41.9","","","28.2","28.3","1.5","","","",""
"Webb, Logan","657277","3.7","33.6","","","41.6","","","","21.2",""
"Snell, Blake","605483","48.6","","","13.1","18.4","19.8","","","",""
"Lynn, Lance","458681","43.7","12.6","23.0","6.2","7.0","7.4","","","0.2",""
"Wheeler, Zack","554430","43.4","18.1","14.4","","0.4","11.4","","","12.3",""
"Bassitt, Chris","605135","9.3","39.3","15.3","4.6","6.6","12.6","3.3","","9.0",""
"Keller, Mitch","656605","26.1","22.7","24.2","","2.9","8.0","","","16.1",""
"Strider, Spencer","675911","58.9","","","33.8","7.3","","","","",""
"Nola, Aaron","605400","29.6","18.7","7.5","","12.6","31.6","","","",""
"Burnes, Corbin","669203","","7.7","55.4","8.5","11.2","17.1","","","",""
"Gausman, Kevin","592332","50.9","","","10.2","","","38.4","","0.6",""
"Gibson, Kyle","502043","13.4","26.1","16.6","","17.0","8.4","","","18.4",""
"López, Pablo","641154","34.5","10.6","","","21.1","12.5","","","21.4",""
"Luzardo, Jesús","666200","45.7","4.0","0.4","28.9","21.0","","","","",""
"Oviedo, Johan","670912","39.2","5.0","","36.7","4.1","14.9","","","",""
"Valdez, Framber","664285","0.1","46.8","3.4","8.7","15.7","25.3","","","",""
"Berríos, José","621244","20.4","31.5","","","18.5","","","","","29.6"
"Kremer, Dean","665152","37.1","14.5","23.9","","12.3","8.9","","","3.3",""
"Corbin, Patrick","571578","16.9","41.7","","35.0","6.4","","","","",""
"Gilbert, Logan","669302","41.9","0.3","","29.7","","13.4","14.8","","",""
"Montgomery, Jordan","656756","10.7","42.6","1.6","","23.0","22.2","","","",""
