"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Burnes, Corbin","669203","0.5","6.7","55.4","9.2","9.8","18.4","","","",""
"Cole, Gerrit","543037","51.9","","6.4","22.6","8.4","10.8","","","",""
"Alcantara, Sandy","645261","25.1","25.0","","22.0","27.6","0.3","","","",""
"Mikolas, Miles","571945","27.3","22.2","","25.4","4.0","21.1","","","",""
"Wainwright, Adam","425794","9.4","27.8","25.0","0.1","6.0","31.7","","","",""
"Cease, Dylan","656302","39.8","1.0","","42.9","2.4","13.9","","","",""
"Pivetta, Nick","601713","51.0","","16.9","2.8","0.0","27.0","2.2","","",""
"Kelly, Merrill","518876","30.8","17.5","16.7","0.2","21.3","13.5","","","",""
"Ray, Robbie","592662","39.3","20.9","","37.2","0.7","1.9","","","",""
"Nola, Aaron","605400","33.4","18.8","6.5","","14.7","26.5","","","",""
"Valdez, Framber","664285","3.6","48.9","","10.1","9.2","28.2","","","",""
"Gilbert, Logan","669302","53.9","1.4","","24.2","8.0","12.5","","","",""
"Webb, Logan","657277","3.2","32.9","","","31.1","","","","32.7",""
"Lyles, Jordan","543475","31.8","17.6","2.6","","10.7","13.4","","","24.0",""
"Rodón, Carlos","607074","61.2","","","31.1","2.0","5.7","","","",""
"Pérez, Martín","527048","8.0","35.2","24.3","1.4","27.6","3.5","","","",""
"Darvish, Yu","506433","25.5","8.5","4.3","31.5","","7.3","7.4","","15.4",""
"Manoah, Alek","666201","35.8","25.9","","27.1","11.2","","","","",""
"Gallen, Zac","668678","48.0","0.0","14.9","0.9","14.2","21.9","","","",""
"Quantrill, Cal","615698","2.7","45.1","36.0","","11.8","4.3","0.0","","",""
"López, Pablo","641154","38.9","8.1","9.6","","35.4","8.1","","","",""
"Morton, Charlie","450203","33.7","10.5","9.3","","8.5","38.0","","","",""
"Bassitt, Chris","605135","13.1","33.5","17.3","8.0","6.1","13.9","","","8.2",""
"Bieber, Shane","669456","34.4","","15.8","29.5","2.3","17.9","","","",""
