"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Wheeler, Zack","554430","42.4","18.3","25.0","","3.7","10.7","","","",""
"Mahle, Tyler","641816","53.0","","4.8","26.3","","","15.9","","",""
"Castillo, Luis","622491","28.5","23.6","","17.4","30.5","","","","",""
"Buehler, Walker","621111","44.4","7.4","16.4","13.8","4.8","13.2","","","",""
"Ray, Robbie","592662","59.2","0.3","","30.8","3.6","6.1","","","",""
"Alcantara, Sandy","645261","21.6","28.2","","24.1","23.5","2.6","","","",""
"Wainwright, Adam","425794","9.4","28.1","22.0","","6.4","34.1","","","",""
"Berríos, José","621244","26.7","29.5","","","13.2","","","","","30.5"
"Montas, Frankie","593423","29.5","28.8","6.6","12.8","","","22.4","","",""
"Gausman, Kevin","592332","52.7","","","6.2","5.6","","35.5","","",""
"Morton, Charlie","450203","36.1","13.4","8.5","","5.3","36.7","","","",""
"Manaea, Sean","640455","0.8","59.3","","14.9","24.3","","","","0.7",""
"Nola, Aaron","605400","37.5","14.1","1.5","","19.8","27.0","","","",""
"Giolito, Lucas","608337","43.9","","","21.5","31.8","2.9","","","",""
"Cole, Gerrit","543037","47.1","0.8","","22.2","14.2","15.7","","","",""
"Lyles, Jordan","543475","39.4","9.0","2.8","9.2","7.3","18.2","","","14.2",""
"Cease, Dylan","656302","46.8","","","30.6","7.4","15.2","","","",""
"Musgrove, Joe","605397","20.3","5.1","18.2","27.8","4.8","23.8","","","",""
"Eovaldi, Nathan","543135","42.3","","12.5","13.8","","18.8","12.7","","",""
"Gibson, Kyle","502043","12.6","34.0","15.0","15.9","13.3","9.1","","","0.1",""
"Scherzer, Max","453286","46.7","","9.8","18.8","14.9","9.8","","","",""
"Flexen, Chris","623167","40.0","","29.4","","15.3","15.3","","","",""
"Woodruff, Brandon","605540","33.7","26.7","","8.6","14.2","16.8","","","",""
"Hendricks, Kyle","543294","17.8","42.8","","","27.7","11.7","","","",""
"Márquez, Germán","608566","45.5","7.4","","26.9","2.1","18.2","","","",""
"McCullers Jr., Lance","621121","","34.0","1.5","25.8","13.7","24.9","","","",""
"Urías, Julio","628711","48.3","0.1","","","17.3","","","","","34.2"
"Darvish, Yu","506433","22.1","8.3","2.5","31.0","","8.5","4.9","","22.8",""
"Corbin, Patrick","571578","28.3","28.1","","38.4","4.2","1.0","","","",""
"Pivetta, Nick","601713","51.8","0.1","0.1","21.5","2.7","23.7","","","",""
"Stroman, Marcus","573186","2.6","42.0","15.4","1.6","","0.4","16.1","","","21.9"
"Keuchel, Dallas","572971","2.1","37.9","24.4","7.0","28.6","","","","",""
"Rodriguez, Eduardo","593958","40.0","11.2","17.7","8.1","23.0","","","","",""
"Ryu, Hyun Jin","547943","35.3","0.8","25.4","0.5","25.4","12.6","","","",""
"Irvin, Cole","608344","40.5","19.2","0.1","14.8","22.0","3.3","","","",""
"Happ, J.A.","457918","53.9","17.6","","15.1","12.1","1.3","","","",""
