"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Zimmermann, Bruce","669145","2335","2312",,"2433","1938","2405",,,,
"Pagán, Emilio","641941","2517",,"2363","2477",,"2632","1531",,,
"Barria, Jaime","642545","2292","2147",,"2191","1611",,,,,
"Doval, Camilo","666808",,"2472","2531","2580",,,,,,
"Davis, Austin","656354","2256","2123",,,"1896","2415",,,"2375",
"Ruiz, José","614179","2354","2317",,,"1795","2283",,,,
"Winder, Josh","680739","2023",,,"2118","1516","2156",,,,
"Minter, A.J.","621345","2425",,"2603",,"1650",,,,,
"Soto, Gregory","642397","2369","2371",,"2385","2154",,,,,
"Stratton, Chris","608717","2631","2512",,"2868","2228","3188",,,,
"Hernández, Elieser","622694","2095","2075",,"2103","1922",,,,,
"Montero, Rafael","606160","2335","2232",,"2345","2056",,,,,
"Brebbia, John","605154","2309",,,"2548",,,,,,
"Boxberger, Brad","502202","2385",,,"2461","1332",,,,,
"Milner, Hoby","571948","1974","1989",,,"1783",,,,"1887",
"Maton, Phil","664208","2487","2228","2656",,"2243","2998",,,"2669",
"McHugh, Collin","543521","2333",,"2511",,,"2723",,,"2784",
"Leiter Jr., Mark","643410","1949","1913","2085","2211",,"2264","842",,,
"Rogers, Taylor","573124","2223","2168",,,,,,,"2693",
"Vest, Will","676684","2079","1746",,"2391","1571",,,,,
"Strickland, Hunter","519326","2351","2234","2722","2814","1768",,,,,
"Germán, Domingo","593334","2539","2476",,,"2368","2617",,,,
"Lugo, Seth","607625","2244","2316",,"2441","1774","3253",,,,
"Sears, JP","676664","2152",,,,"1878","2507",,,"2530",
"Tate, Dillon","622253",,"1969",,"2055","1649",,,,"2440",
"Kimbrel, Craig","518886","2264",,,,,"2542",,,,
"Puk, A.J.","640462","2288","2178",,"2233","2056",,,,"2233",
"Beede, Tyler","595881","2082","2126",,"2068","1617","2060",,,,
"Suter, Brent","608718","2147","2085",,"2305","1477",,,,,
"Williams, Devin","642207","2268",,"2464","2375","2739",,,,,
"Crismatt, Nabil","622503","2154","2105",,"2102","1696","2227",,,,
"Ottavino, Adam","493603","2352","2253","2564","2028","2080",,,,"2701",
"Díaz, Alexis","664747","2656",,,"2750",,"2864",,,,
"Robertson, David","502085",,,"2611","2651",,"2639",,,,
"Finnegan, Kyle","640448","2069",,,"2134",,,"1099",,,
"Hicks, Jordan","663855","2178","2039",,"2421","1775",,"1248",,"2487",
"Armstrong, Shawn","542888","2302","2151","2460","2518",,,,,,
"Lange, Alex","656638","2247","2221",,,"1699","2186",,,,
"Buehler, Walker","621111","2267","2174","2410","2669","1550","2662",,,,
"Cimber, Adam","643256","2172","2140",,"2473",,,,,,
"Fulmer, Michael","605242","2302","2188","2414",,"1503","2409",,,,
"Martin, Davis","663436","2356",,,"2697","2192","2627",,,,
"Pilkington, Konnor","663455","2220","2222",,"2234","1742","2177",,,,
"García, Yimi","554340","2456","2248",,"2454","1877","2694",,,,
"Hernández, Carlos","672578","2365","2332",,"2026",,"2282","1183",,,
"Graveman, Kendall","608665","2372","2228",,"2494","1764","2494",,,,
"Sanmartin, Reiver","665665","2218","2220",,"2433","1998",,,,,
"Stephan, Trevor","663986","2479",,,"2590",,,"1273",,,
"Muñoz, Andrés","662253","2291","2205",,"2226",,,,,,
"Duran, Jhoan","661395","2172",,,"2320",,"2660","1659",,,
"Logue, Zach","656657","2011","1890","2247",,"1873","2425",,,,
"Givens, Mychal","571710","2426",,,"2575","2067",,,,,
"Estévez, Carlos","608032","2241",,,"2281","1660","2173",,,,
"Schreiber, John","670167","2237","2184",,,"1649",,,,"2614",
"Abreu, Bryan","650556","2312","2478",,"2766","1806","2944",,,,
"Hill, Garrett","682051","2153","2133",,"2527","1368","2634",,,,
"Morgan, Eli","669212","2268",,"2285","2274","2098","2223",,,,
"García, Jarlín","606424","2201",,,"2251","2112",,,,,
"Martínez, Adrián","661309",,"2157",,"1936","2289",,,,,
"Edwards Jr., Carl","605218","2521","2579",,,"1662","2120",,,,
"Neris, Héctor","593576","2448","2351",,"1975",,,"1136",,,
"Norris, Daniel","596057","2351","2252",,"2531","1426","2402",,,"2632",
"Jansen, Kenley","445276",,"2232","2564","2459",,,,,,
"Sanchez, Aaron","592717","2140","2131",,,"1708","2632",,,,
"Acevedo, Domingo","642758","2118","2157",,"2123","1867",,,,,
"Underwood Jr., Duane","621249","2254","2089","2094",,"1502","2403",,,,
"Murfee, Penn","682171","2276","2055",,,,,,,"2645",
"Beeks, Jalen","656222","2122",,"2279","2228","1933",,,,,
"Machado, Andrés","600921","2112","2038",,"2010","1519",,,,,
"Bello, Brayan","678394","2202","2122",,"2497","1876","2448",,,,
"Thielbar, Caleb","573204","2298",,,,"1117","2455",,,"2362",
"Bautista, Félix","642585","2341",,,"2458",,,"1110",,,
"Herget, Jimmy","623474","2236","2251",,"2608","1514","2732",,,,
"Santana, Dennis","642701","2510","2422",,"2675","2069",,,,,
"Manning, Matt","666159","2052","1933",,"2146","1367","2282",,,"2178",
"Bickford, Phil","641360","2361",,,"2293","2185",,,,,
"Romano, Jordan","605447","2289","2357",,"2082",,,,,,
"Gallegos, Giovanny","606149","2386",,,"2475","1910",,,,,
"Bass, Anthony","542914","2022","1990",,"2219",,,"1294",,,
"Smith, Will","519293","2178","2218",,"2259","2023","1883",,,,
"Brasier, Ryan","518489","2270","2230",,"2469","1340",,,,,
"López, Reynaldo","625643","2249",,,"2263","1590","2513",,,,
"Oviedo, Johan","670912","2275",,,"2584","1747","2461",,,,
"Iglesias, Raisel","628452","2318","2321",,"2561","1885",,,,,
"Krehbiel, Joey","607216","2175",,"2465","2478","1495",,,,,
"Holmes, Clay","605280","2266","2208",,"2525",,,,,"2578",
"Poche, Colin","621363","2230",,,"2480",,"2564",,,,
"Sewald, Paul","623149","2494",,,,,,,,"2422",
"Luetge, Lucas","476595","2614",,"2591","2686",,"2428",,,"2691",
"Shaw, Bryan","543766",,"2159","2411","2596","1652","2230","931",,,
"Okert, Steven","595345","2235",,,"2486",,,,,,
"Loup, Aaron","571901","2203","2130","2323",,"1946","2343",,,,
"Faedo, Alex","656412","2179",,,"2486","1945",,,,,
"García, Luis","472610","2246","2142",,"2372",,,"1098",,"2497",
"Bellatti, Andrew","571479","2436",,,"2398","1697",,,,,
"Helsley, Ryan","664854","2643",,,"2463","1564","2533",,,,
"Foley, Jason","671345","2185","2034",,"2240","1594",,,,"2189",
"Trivino, Lou","642152","1992","2024","2277","2558","1690","2180",,,,
"Bard, Daniel","453268","2623","2508",,"2776","2264",,,,,"2610"
"Payamps, Joel","606303","2423","2268",,"2718","1993",,,,,
"Hughes, Brandon","676714","2313","2235",,"2372","1964",,,,,
"Vesia, Alex","681911","2326",,,"2415","1967",,,,,
"Hendriks, Liam","521230","2398",,,"2201",,"2189",,,,
"Hentges, Sam","656529","2215","2159",,"2317",,"2514",,,,
"Stephens, Jackson","623451","2062","1903",,"2457","1505","2974",,,,
"Hader, Josh","623352",,"2008",,"2460","1599",,,,,
"Adam, Jason","592094","2654",,,,"2016",,,,"2719",
"deGrom, Jacob","594798","2516",,,"2580","1613","2691",,,,
"Jiménez, Joe","641729","2461",,,"2226","2200",,,,,
"Brash, Matt","666374","2233",,,"2883","2050","2971",,,,
"Schmidt, Clarke","657376","2522","2407",,,"2128","2913",,,"2856",
"Díaz, Edwin","621242","2352",,,"2274",,,,,,
"Kuhnel, Joel","669270","2229","2236",,"2365","1483",,,,,
"Phillips, Evan","623465","2321","2065","2399",,,,,,"2535",
"Clase, Emmanuel","661403","2556",,"2653","2653",,,,,,
"Houck, Tanner","656557","2137","2047",,"2556",,,"1656",,,
"Stephenson, Robert","596112","2389",,,"2914",,"2936","1521",,,
"Davidson, Tucker","656353","2017","1960",,"2294","1727","2473","1212",,,
"Bush, Matt","456713","2527","2299","2616",,,"2480",,,,
"Pérez, Cionel","672335","2194","2259",,"2602",,"2831",,,,
"Chafin, Andrew","605177","2139","2106",,"2485","1759",,,,,
"Festa, Matt","670036","2332","2027",,,,,,,"2567",
"Banks, Tanner","621383","2270",,,"2319","1778","2299",,,,
"Stanek, Ryne","592773","2307",,,"2513",,,"1040",,,
"Rucker, Michael","621074","2270",,"2361","2476","1787","2523",,,,
"Tepera, Ryan","572193","2224","2182",,"2307","1229","2260",,,"2422",
"Mayers, Mike","594577","2295","2104","2288","2145","1574","2404",,,,
"Jackson, Zach","667427","2120",,"2204","2461","1230",,,,,
"Melancon, Mark","453343","2324",,"2266","2314",,"2587","1831",,,
"García, Rony","665621","2335","2252",,,"1748","2343",,,,
"Alvarado, José","621237","2149","2093","2207",,,"2465",,,,
"Swanson, Erik","657024","2291",,,"2311",,,"1147",,,
"Wilson, Steven","621051","2366",,,"2610","2122",,,,"2693",
"Elder, Bryce","693821","2154","1970",,"2413","2110",,,,,
"Kennedy, Ian","453178","2447",,"2075","2462","1996","2595","1136",,,
"Floro, Dylan","571670","2177","2128",,"1891","1819",,,,,
"Mantiply, Joe","573009","2199","2190",,,"1702","2336",,,,
"Clarke, Taylor","664199","2268",,,"2177","1536",,,,,
"Marte, Yunior","628708","2412","2328",,"2601","2462",,,,,
"Martin, Chris","455119","2181","2064","2158",,,"2574","1507",,"2425",
"Ober, Bailey","641927","2301",,,"2175","1818","2241",,,,
"Matz, Steven","571927",,"2260",,"2160","2322","2371",,,,
"Hoffman, Jeff","656546","2457",,,"2691","2269",,"1571",,,
"Raley, Brooks","548384","2356","2312","2551",,"1901",,,,"2940",
"De Los Santos, Enyel","660853","2251",,,"2143","1861",,,,,
"Abbott, Cory","676265","2253",,,"2133",,"2291",,,,
"Bednar, David","670280","2298","2256",,,,"2436","1562",,,
"Rodríguez, Joely","570257","2031","1956",,"2266","1069",,,,,
"Castillo, Diego","650895","1968","1998",,"2260",,,,,,
"Sawamura, Hirokazu","617228","2112",,,"2298",,,"1418",,,
"Farmer, Buck","571656","2325",,,"2688","1678",,,,,
"Ramirez, Noé","598287","2187",,,,"2023","2524",,,,
"Wantz, Andrew","681806","2366",,"2567",,"1632",,,,"2430",
"Leone, Dominic","608678","2323","2269","2404","2453",,,,,,
"Domínguez, Seranthony","622554","2357","2312","2473","2441","1783",,,,,
"Familia, Jeurys","544727","2297","2188",,"2183",,,"1806",,,
"Lambert, Jimmy","669424","2221",,,"2583","1576","2597",,,,
"Hand, Brad","543272","2353","2289",,,,,,,"2282",
"Peralta, Wandy","593974","2218","2186",,"2241","2184",,,,,
"Effross, Scott","664123","2246","2216",,"2451","2065",,,,,
"Pruitt, Austin","643493","2263","2421",,"2562","1671","2899",,,,
"Garrett, Amir","607237","2224","2210",,"1848",,,,,,
"Colomé, Alex","517008","2125",,"2153",,,,,,,
"Suarez, Robert","663158","2307","2241","2214","2186","1763","2134",,,,
"Gilbreath, Lucas","656458","2371",,,"2392",,,"1188",,,
"Knebel, Corey","608349","2369",,,"2543",,"2832",,,,
"Megill, Tylor","656731","2171",,"2220","2295","1546","2369",,,,
"Chacín, Jhoulys","468504","2376","2304",,"2630","1469","2564",,,,
"Leclerc, José","600917","2639",,"2781","2583","2153",,,,,
"Snead, Kirby","669912","2497","2402",,"2788","2222",,,,,
"Smith, Drew","622098","2503","2505",,"2812","1964","2809",,,,
"Megill, Trevor","656730","2446",,,"2747",,"2759",,,,
"Henry, Tommy","674072","2184","2212",,"2193","1435","2389",,,,
"Foster, Matt","641582","2243",,"2258","2298","1824","2150",,,,
"Bleier, Richard","542947","2103","2039","1995","2017","1533",,"1947",,,
"King, Michael","650633","2433","2375",,,"2152",,,,"2785",
"Strahm, Matt","621381","2298","2264","2392","2604","2157","2667",,,,
"Lawrence, Justin","664875",,"2281",,,,,,,"2797",
"Loáisiga, Jonathan","642528","2428","2317",,,"1943","2624",,,,
"Gott, Trevor","641627","2201","2033","2258",,"1429","2073",,,,
"McCullers Jr., Lance","621121",,"2106","2567","2858","1717","3013",,,,
"Littell, Zack","641793","2132",,,"2220",,,"880",,,
"Marinaccio, Ron","676760","2325",,,,"1981",,,,"2354",
"Lee, Dylan","669276","2260",,,"2080","1525",,,,,
"Nance, Tommy","667297","2341","2326",,"2652",,"2886",,,,
"Martin, Brett","656685","2149","2200",,"2207",,"2250",,,,
"King, John","667463",,"2066","2433","2700","1638",,,,"2636",
"Wisler, Matt","605538","1953",,,"2479","1105",,,,,
"Castellanos, Humberto","528748","2139","2030",,"2073","1410","2406",,,,
"Bird, Jake","656234",,"1951","2354",,"1730","2832",,,,
"Hill, Tim","657612","2210","2070","1963","2008",,,,,,
"Cotton, Jharel","605194","2263",,,"2440","2392","2614",,,,
"Duffey, Tyler","608648","2276","2402",,"2381","1863","2479",,,,
"Sandlin, Nick","680704","2310","2153",,"2617",,,"1507",,,
"Long, Sam","669674","2204","2200",,,"1946","2520",,,,
"Weems, Jordan","607179","2134",,,"2233","992","2187",,,,
"Pepiot, Ryan","686752","2409",,,"2693","2374",,,,,
"Moll, Sam","594580","2368","2524",,,,,,,"3182",
"Cabrera, Génesis","650893","2232","2204","2121",,"1768","2402",,,,
"Pineda, Michael","501381","1934",,,"1933","1713",,,,,
"Mayza, Tim","641835","2156","2032",,"2200",,,,,,
"Staumont, Josh","622251","2258","2192",,"2779",,"2689",,,,
"Weaver, Luke","596133","2373","2313",,"2256","1664","2303",,,,
"Bañuelos, Manny","544365","2051","1825",,"2389","1703","2467",,,,
"Matzek, Tyler","554431","2444",,,"2808",,"2641",,,,
"Pressly, Ryan","519151","2512",,,"2729","1974","3272",,,,
"Brogdon, Connor","641401","2294",,"2376",,"2060",,,,,
"Richards, Garrett","572070","2310","2376",,"2605","1690","2859",,,,
"Abreu, Albert","656061","2160","2201",,"2265","1914",,,,,
"Ragans, Cole","666142","2401",,"2419",,"2210","2220",,,,
"Karinchak, James","675916","2349",,,,,"2398",,,,
"Kelly, Joe","523260","2235","2166",,"2908","2045","2868",,,,
"Stammen, Craig","489334","2296","2210","2315","2382","1703","2321",,,,
"Woodford, Jake","663765","2203","2027",,"2589","1401","2541",,,"2507",
"Castillo, Max","666721","2193",,,"2377","1615",,,,,
"Gibaut, Ian","664139","2273",,"2357","2506","1894",,,,"2487",
"Peralta, Wily","503449","1944","1876",,"2257",,,"1165",,,
