"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Burnes, Corbin","669203","2578","2493","2626","2801","2044","2761",,,,
"Cole, Gerrit","543037","2428",,"2485","2569","1616","2779",,,,
"Alcantara, Sandy","645261","2199","2293",,"2355","2056","2350",,,,
"Mikolas, Miles","571945","2292","2232",,"2381","1575","2547",,,,
"Wainwright, Adam","425794","2233","2201","2411","2682","1764","2768",,,,
"Cease, Dylan","656302","2507","2492",,"2833","1720","2697",,,,
"Pivetta, Nick","601713","2310",,"2294","2476","2329","2710","1152",,,
"Kelly, Merrill","518876","2360","2206","2332","2416","2158","2550",,,,
"Ray, Robbie","592662","2282","2191",,"2190","1759","2106",,,,
"Nola, Aaron","605400","2308","2199","2212",,"1482","2589",,,,
"Valdez, Framber","664285","2193","2203",,"2669","1640","2849",,,,
"Gilbert, Logan","669302","2135","1973",,"2289","1752","2117",,,,
"Webb, Logan","657277","2069","1881",,,"1492",,,,"2628",
"Lyles, Jordan","543475","2204","2095","2438",,"1464","2433",,,"2638",
"Rodón, Carlos","607074","2349",,,"2447","1757","2454",,,,
"Pérez, Martín","527048","2055","1997","2214","2398","1661","2515",,,,
"Darvish, Yu","506433","2416","2274","2577","2778",,"2704","1302",,"2726",
"Manoah, Alek","666201","2369","2193",,"2216","1980",,,,,
"Gallen, Zac","668678","2420","2216","2424","2513","1539","2515",,,,
"Quantrill, Cal","615698","2167","2105","2238",,"1533","2447","1390",,,
"López, Pablo","641154","2196","1999","2229",,"1965","2495",,,,
"Morton, Charlie","450203","2373","2190","2551",,"2154","3068",,,,
"Bassitt, Chris","605135","2191","2118","2262","2345","1824","2330",,,"2318",
"Bieber, Shane","669456","2206",,"2497","2515","1557","2197",,,,
"Márquez, Germán","608566","2138","2111",,"2390","1595","2577",,,,
"Freeland, Kyle","607536","2390","2350",,"2375","1479","2446",,,,
"Gonzales, Marco","594835","1986",,"2030",,"2114","2114",,,,
"Musgrove, Joe","605397","2559","2436","2581","2714","1972","2723",,,,
"Fried, Max","608331","2139","2035",,"2392","1413","2748",,,"2646",
"McKenzie, Triston","663474","2312",,,"2197",,"2198",,,,
"Taillon, Jameson","592791","2370","2297","2531","2556","1846","2734",,,"2640",
"Gausman, Kevin","592332","2265",,,"2206","1497",,"1569",,,
"Giolito, Lucas","608337","2172",,,"1959","1448","2348",,,,
"Gibson, Kyle","502043","2279","2133","2360","2519","1622","2467",,,"2458",
"Quintana, Jose","500779","2077","2070",,,"1319","2263",,,,"2255"
"Berríos, José","621244","2241","2116",,,"1522",,,,,"2285"
"Montgomery, Jordan","656756","2305","2211","2387",,"1679","2263",,,,
"Bumgarner, Madison","518516","2209","2067","2295","2205","1480","2304",,,,
"Wright, Kyle","657140","2384","2260",,"2395","1699","2723",,,,
"Lauer, Eric","641778","2289",,"2268","2286","1746","2400",,,,
"Keller, Mitch","656605","2422","2366",,"2452","1633","2576",,,"2691",
"Urquidy, José","664353","2201",,"2508",,"2006","2628",,,"2623",
"Ohtani, Shohei","660271","2217","1973","2378","2498",,"2482","1274",,"2492",
"Corbin, Patrick","571578","2130","2068",,"2184","1629","1944",,,,
"Urías, Julio","628711","2521",,,,"1950",,,,,"2914"
"Irvin, Cole","608344","1976","1940","2012",,"1553","2074",,,,
"Verlander, Justin","434378","2423",,,"2464","1756","2644",,,,
"Gray, Josiah","680686","2216","2281","2028","2030","2056","2490",,,,
"Anderson, Tyler","542881","2231","2227","2421",,"1848","2141",,,,
"Suárez, Ranger","624133","1894","1907","2016","2114","1522","2228",,,,
"Javier, Cristian","664299","2354",,,"2621","2214","2884",,,,
"Dunning, Dane","641540","2049","2004","2157","2080","1860","2215",,,"2094",
"Woodruff, Brandon","605540","2350","2286",,"2408","2008","2497",,,,
"Castillo, Luis","622491","2354","2163",,"2422","1937",,,,,
"Walker, Taijuan","592836","2148","2023","2330","2403",,"2226","1447",,"2497",
"Manaea, Sean","640455","2001","2025",,"2036","1436","2016",,,"2014",
"Garcia, Luis","677651","2408","2232","2354","2525","2032","2577",,,,
"Cortes, Nestor","641482","2270","2261","2370",,"1329","2437",,,"2521",
"McClanahan, Shane","663556","2233",,,"2348","1732","2628",,,,
"Sandoval, Patrick","663776","2037","1924",,"2551","1608","2779",,,,
"Kluber, Corey","446372","2271","2075","2463",,"1652","2526",,,,
"Lynch IV, Daniel","663738","2125","2062",,"2018","1671","2096",,,,
"Fedde, Erick","607200",,"1877","2123",,"1516","2388",,,,
"Cobb, Alex","502171","2214","2091",,"2531",,"2610","1578",,,
"Carrasco, Carlos","471911","2282","2161",,"2456","1311","2654",,,,
"Ryan, Joe","657746","2194",,,"2136","2074","2371","2152",,"2265",
"Brubaker, JT","664141","2156","2281",,"2653","1880","2813",,,,
"Singer, Brady","663903","2327","2297",,"2341","2229",,,,,
"Kuhl, Chad","641771","2218","2129",,"2541","1699","2866",,,,
"Cueto, Johnny","456501","2188","2111","2178","2235","1325","2095",,,,
"Wheeler, Zack","554430","2392","2217","2459",,"1557","2654",,,,
"Snell, Blake","605483","2434",,,"2389","1899","2297",,,,
"Montas, Frankie","593423","2357","2242","2396","2410",,,"1467",,,
"Davies, Zach","605200","2114","2084","2145","2498","1672","2580",,,"2604",
"Strider, Spencer","675911","2343",,,"2388","2126",,,,,
"Keller, Brad","641745","2409","2193",,"2541","1618","2543",,,,
"Greinke, Zack","425844","2286","2193","2371","2448","1644","2433",,,,
"Bubic, Kris","663460","2134",,,,"1690","2609",,,,
"Hudson, Dakota","641712","2169","2060",,"2366","1446","2420",,,,
"Wood, Alex","622072",,"2041",,"2067","1668",,,,,
"Rasmussen, Drew","656876","2398","2402","2612","2514",,"2692",,,"2470",
"Kaprielian, James","621076","2006","1931",,"2291","1365","2496",,,,
"Otto, Glenn","657248","2264","2235",,,"1681","2461",,,"2590",
"Flexen, Chris","623167","2132","2169","2356","2523","1309","2651",,,"2587",
"Greene, Hunter","668881","2368",,,"2363","1993",,,,,
"Stroman, Marcus","573186","2425","2265","2532","2692",,,"1715",,,"2673"
"Detmers, Reid","672282","2102","2127",,"2140","1435","2476",,,"2229",
"Bundy, Dylan","605164","2352","2194",,"2404","1361","2148",,,,
"Scherzer, Max","453286","2387",,"2391","2303","1399","2764",,,,
"Plesac, Zach","668676","2148","2080",,"2125","1626","2182",,,,
"Springs, Jeffrey","605488","2254","2316",,"2188","1415",,,,,
"Mahle, Tyler","641816","2293",,"2397","2496",,,"1895",,,
"Kirby, George","669923","2179","2236","2149","2185","1471","2179",,,,
"Thompson, Zach","605507","2386","2231","2580",,"1864","2244",,,,
"Gray, Jon","592351","2015",,,"2212","1455","2597",,,"2471",
"Gomber, Austin","596295","2156","2052",,"2391","1644","2497",,,,
"Stripling, Ross","548389","2124","2004",,"2301","1680","2377",,,,
"Steele, Justin","657006","2490","2430",,"2687","1697","2539",,,,
"Lynn, Lance","458681","2443","2307","2607","2548","1872","2497",,,,
"Syndergaard, Noah","592789","2136","2125","2161","2151","1534","2136","1438",,,
"Gonsolin, Tony","664062","2326",,,"2486",,"2570","1411",,,
"Kopech, Michael","656629","2529",,,"2392","1630","2391",,,,
"Anderson, Ian","666120","1938",,,,"1519","1874",,,,
"Bradish, Kyle","680694","2305","2156",,"2483","1427","2517",,,,
"Hill, Rich","448179","2252","2229","2273",,"1882","2629",,,"2531",
"Wacha, Michael","608379","2122","2052","2052",,"1583","2173",,,,
"Kremer, Dean","665152","2235","2139","2478",,"1580","2697",,,,
"Rogers, Trevor","669432","2423","2185",,"2038","1372",,,,,
"Clevinger, Mike","605182","2300","2242","2472","2447","1554","2231",,,,
"Skubal, Tarik","669373","2157","2053",,"2119","1599","2230",,,,
"Peterson, David","656849","2083","2094",,"2325","1639","2304",,,,
"Thompson, Keegan","624522","2369","2335","2553",,"2092","2574",,,"2746",
"Ashby, Aaron","676879","2116","2091",,"2546","1784","2596",,,,
"Espino, Paolo","502179","2228",,,"2622","1423","3006",,,"2739",
"Gray, Sonny","543243","2541","2438","2679","2771","1882","2829",,,"2661",
"Houser, Adrian","605288","2214","2077",,"2265","1547","1984",,,,
"Kikuchi, Yusei","579328","2270",,"2255","2355","1565","2256",,,,
"Kershaw, Clayton","477132","2408","2390",,"2577","2126","2395",,,,
"Wilson, Bryse","669060","2034","1958","2065","2194","1612","2299","1218",,,
"Junis, Jakob","596001","2202","2192","2427","2473","1396",,,,,
"Odorizzi, Jake","543606","2144",,"2077","2067",,"2209","1323",,,
"Heasley, Jonathan","669169","2322","2332",,"2277","1871","2615",,,,
"Archer, Chris","502042","2174",,,"2464","1705","2459",,,,
"Hearn, Taylor","621368","2321","2204","2261","2125","1778",,,,,
"Suarez, José","660761","2214","2031",,"2584","1553","2686",,,"2637",
"Blackburn, Paul","621112","2132","2002","2484","2579","1810","2603",,,,
"Voth, Austin","608723","2356",,"2440",,"1920","2974",,,"2741",
"Hutchison, Drew","571800","2257","2302",,"2582","1738",,,,,
"Ashcraft, Graham","668933",,"2183","2383","2707","1776",,,,,
"Pallante, Andre","669467","2221","2106",,"2337","1574","2836",,,,
"Minor, Mike","501985","2471","2567",,"2699","2175","2437",,,,
"Eovaldi, Nathan","543135","2128",,"2376","2171",,"2061","1561",,,
"Smyly, Drew","592767",,"2158","2103",,"1300","2119",,,,
"Martinez, Nick","607259","2337","2347","2380",,"1718","2605",,,,
"White, Mitch","669952","2276","2179",,"1756","1548","2407",,,"2455",
"Sampson, Adrian","592716","2075","2003","2493","2616","1816",,,,,
"Lodolo, Nick","666157","2340","2308",,,"1962","2733",,,,
"Feltner, Ryan","663372","2346","2305",,"2489","1595","2548",,,"2433",
"Lorenzen, Michael","547179","2441","2257","2495","2511","2053","2653",,,"2474",
"Wells, Tyler","669330","2459",,"2537",,"2098","2672",,,"2586",
"Luzardo, Jesús","666200","2207","2138",,"2325","1900",,,,,
"Watkins, Spenser","657093","2259","2104","2455","2642","1649","2571",,,"2588",
"Ureña, José","570632","2151","2191",,"2323","1699",,,,,
"Severino, Luis","622663","2257","2207","2427","2684","1558",,,,,
"Alexander, Tyler","641302","2275","2130","2349","2292","1524",,,,"2343",
"Civale, Aaron","650644","2353","2312","2611","2781",,"2971","1843",,"2842",
"Contreras, Roansy","672710","2389",,,"2488","2080","2727",,,,
"Senzatela, Antonio","622608","2133","2086",,"2100","2082","2206",,,,
"Rodriguez, Eduardo","593958","2171","2150","2193","2170","1873",,,,,
"Garrett, Braxton","666129","2315","2089","2377","2298","1637","2298",,,,
"Williams, Trevor","592866","2242","1918",,"2248","1797","2256",,,,
"Crowe, Wil","640444","2478","2269",,"2779","1740","2463",,,"2801",
"Yarbrough, Ryan","642232","1820","1843","2084",,"1920","2168",,,,
"Peralta, Freddy","642547","2352",,,"2125","1694","2067",,,,
"Hendricks, Kyle","543294","2020","1890",,,"2040","2983",,,,
"Burke, Brock","656271","2280","2045",,"2158","1991",,,,,
"Crawford, Kutter","676710","2420",,"2423","2429","1436","2271","1041",,,
"Falter, Bailey","663559","2052","1782",,"1967","1567","2125",,,,
"Oller, Adam","670124","2209","2116","2180","1787","1654","2058",,,,"1920"
"Brieske, Beau","689225","2375","2391",,"2187","2219","2262",,,,
"Velasquez, Vince","592826","2416","2260",,"2500","1552","2361",,,,
"Scott, Tanner","656945","2560",,,"2735",,,,,,
"Gore, MacKenzie","669022","2236",,,"1955","2098","2293",,,,
"Moore, Matt","519043","2385",,,,"2020","2434",,,,
"Akin, Keegan","669211","2256",,,"2163","1967","2385",,,,
"Cessa, Luis","570666","2296","2191",,"2528","1679",,,,,
"Smith, Caleb","592761","2429",,,"2332","2130","2410",,,,
"Sánchez, Aníbal","434671","2064","1925","2095","2179","1470","1953",,,,
"Heaney, Andrew","571760","2442",,,"2583","2124",,,,,
"Ramírez, Erasmo","541640","2192","2206","2385",,"1657","2562",,,,
"Cabrera, Edward","665795","2289","2258",,"2423","1679","2431",,,,
"Coleman, Dylan","669395","2447","2518",,"2532",,,,,"2439",
"Adon, Joan","672851","2186","2144",,"2061","1886","2263",,,,
"Nelson, Nick","656793","1969","1842",,"2265","1916","2231",,,,
"Chavez, Jesse","445926","2042","1974","2223",,"1826","2512",,,,
"Barlow, Scott","605130","2395","2214",,"2474",,"2512",,,,
"Winckowski, Josh","670174","2201","2033","2140","2336","1687",,,,,
"Eflin, Zach","621107","2176","2048","2151","2130","1699","2381",,,,
"Baker, Bryan","641329","2335",,,"2411","1913",,,,,
"Cishek, Steve","518553","2381","2285",,"2275","2013",,,,,
"De Jong, Chase","608328","2412","2416",,"2428","1644","2557","1665",,,
"Diekman, Jake","518617","2284","2180",,,"1545",,,,"2850",
"Rogers, Tyler","643511","1882","1935",,"2300",,,,,,
"Whitlock, Garrett","676477","2120","2152",,"1939","2046",,,,"1796",
"Keuchel, Dallas","572971","2185","1940","2167","2316","1551",,,,,
"Richards, Trevor","670950","2222",,,,"2505","2116",,,,
"López, Jorge","605347","2068","1990",,"2369","1699","2449",,,,
"Alexander, Jason","669920","2191","2062",,"2512","1806",,,,,
"Jax, Griffin","643377","2391",,,,"1580","2736",,,"2844",
"Phelps, David","475479","2360","2230","2420",,"2171","2532",,,,
"Wick, Rowan","592858","2255","1777","2241","2149","723","2604",,,,
"Smeltzer, Devin","656970","2278","2155","2159",,"1599","2555",,,"2544",
