"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Bauer, Trevor","545333","38.5","3.8","16.5","","7.7","19.7","","","13.9",""
"Rodriguez, Eduardo","593958","38.7","15.8","16.2","2.4","23.7","3.2","","","",""
"Lynn, Lance","458681","54.1","17.2","16.2","","3.0","9.5","","","",""
"Strasburg, Stephen","544931","28.6","19.7","","0.4","20.7","30.7","","","",""
"Cole, Gerrit","543037","51.6","2.4","","23.2","7.4","15.4","","","",""
"Minor, Mike","501985","44.6","","","19.4","24.6","11.4","","","",""
"Nola, Aaron","605400","35.4","10.8","","","18.6","35.2","","","",""
"Corbin, Patrick","571578","19.4","34.3","","37.1","5.7","3.5","","","",""
"Verlander, Justin","434378","49.9","","","28.7","4.2","17.3","","","",""
"Bumgarner, Madison","518516","42.8","0.1","33.4","","5.3","18.3","","","",""
"Bieber, Shane","669456","45.7","0.0","","26.5","7.3","20.5","","","",""
"deGrom, Jacob","594798","48.2","1.1","","32.0","15.8","2.9","","","",""
"Flaherty, Jack","656427","46.4","11.9","","27.6","2.0","12.1","","","",""
"Gonzales, Marco","594835","39.4","","20.7","","24.1","15.9","","","",""
"López, Reynaldo","625643","58.5","","","18.3","14.8","8.4","","","",""
"Wheeler, Zack","554430","30.0","28.9","20.0","","9.2","9.9","1.9","","",""
"Morton, Charlie","450203","29.8","19.2","10.4","","","37.4","3.2","","",""
"Berríos, José","621244","32.2","23.1","","","15.9","0.6","","","","28.3"
"Boyd, Matthew","571510","49.8","3.9","0.0","36.2","6.1","4.0","","","",""
"Syndergaard, Noah","592789","29.3","29.8","","15.2","16.2","9.5","","","",""
"Alcantara, Sandy","645261","30.2","27.6","","21.5","12.1","8.6","","","",""
"Greinke, Zack","425844","41.2","5.3","0.1","16.2","22.1","14.8","0.2","","",""
"Castillo, Luis","622491","29.7","20.8","","16.9","32.5","","","","",""
"Ray, Robbie","592662","42.7","10.0","","30.8","","16.5","","","",""
"Stroman, Marcus","573186","2.1","36.5","24.4","","5.3","1.1","","","","30.6"
"Lester, Jon","452657","28.3","10.2","34.2","","11.9","15.4","","","",""
"Teheran, Julio","527054","41.7","22.7","","21.0","8.2","6.5","","","",""
"Nova, Iván","467100","17.6","36.7","13.0","","16.0","16.8","","","",""
"Samardzija, Jeff","502188","27.7","19.3","24.9","18.1","","2.5","7.6","","",""
"Leake, Mike","502190","14.4","18.3","26.1","12.6","20.7","7.9","","","",""
"Porcello, Rick","519144","31.5","25.6","","18.6","11.8","12.6","","","",""
"Kelly, Merrill","518876","37.4","9.7","18.2","","13.4","21.4","","","",""
"Junis, Jakob","596001","33.7","17.3","","29.7","5.4","14.1","","","",""
"Roark, Tanner","543699","25.5","30.0","","21.8","9.8","12.8","","","",""
"Miley, Wade","489119","15.8","6.3","47.0","1.0","20.7","9.3","","","",""
"Darvish, Yu","506433","25.7","8.8","5.0","31.0","0.3","7.0","8.3","","13.9",""
"Hudson, Dakota","641712","13.0","48.7","","25.7","2.6","10.0","","","",""
"Fiers, Mike","571666","32.7","19.6","","17.7","12.5","17.4","","","",""
"Buehler, Walker","621111","53.2","7.1","13.0","14.2","0.5","12.0","","","",""
"Giolito, Lucas","608337","55.0","","","14.7","26.2","4.1","","","",""
